id,name,startedAt,endedAt,postureStanding ,postureSittingPublic ,postureSittingPrivate ,postureSitting ,postureLying ,genderMale ,genderFemale ,age0To14 ,age15To24 ,age25To64 ,age65Plus ,activityConsuming ,activityPlaying ,activitySleep ,activityCulturallyEngaged ,activityWaitingTransport ,activityCommercial ,activityPet ,activitySubstanceUse ,activityHomelessCamping ,activityPanhandling ,location
SFCC8484,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8485,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8486,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,1,,,,,,,"-122.414, 37.78"
SFCC8487,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,,1,,,,,,,,,,,"-122.414, 37.78"
SFCC8488,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,1,,,,"-122.414, 37.78"
SFCC8489,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,45,,,,,,,,,45,,,,,,,,,,,,"-122.414, 37.78"
SFCC8490,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,,,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8491,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8492,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,,1,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8493,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8494,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8495,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8496,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8497,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8498,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8499,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,,1,,,1,,,,,,,,,1,,,"-122.414, 37.78"
SFCC8500,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8501,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,1,,,,,,,,,,"-122.414, 37.78"
SFCC8502,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8503,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8504,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,,1,,,,,,,,,,,"-122.414, 37.78"
SFCC8505,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,,1,,,,,,,,,,,"-122.414, 37.78"
SFCC8506,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,,1,,,,,,,,,,,"-122.414, 37.78"
SFCC8507,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8508,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8509,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,1,,,,,"-122.414, 37.78"
SFCC8510,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,1,,,,,"-122.414, 37.78"
SFCC8511,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8512,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.414, 37.78"
SFCC8513,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8514,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,1,,,,,,,"-122.414, 37.78"
SFCC8515,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,1,,,,,,,"-122.414, 37.78"
SFCC8516,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8517,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,1,,"-122.414, 37.78"
SFCC8518,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,1,,,,,,,"-122.414, 37.78"
SFCC8519,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8520,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,,1,,,,,,,1,,,,"-122.414, 37.78"
SFCC8521,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8522,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.414, 37.78"
SFCC8523,UN Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,,,,,,,,,1,,,,"-122.414, 37.78"
