id,name,unitAddress,surveyor ,climate ,temperature,startedAt ,endedAt ,modePedestrian,genderMale ,genderFemale ,age0To14 ,age25To64 ,age15To24 ,age65Plus ,activityRunning ,activityPlaying,activityRollerbladingSkateboarding ,activityConversing ,objectStroller,objectPushcart,notes
1405,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,66,06/18/14 08:25 AM,06/18/14 09:02 AM,28,17,11,0,0,0,5,2,0,0,0,0,0,
1406,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 08:53 AM,06/18/14 09:03 AM,50,23,27,0,4,0,0,8,0,0,0,0,0,
1407,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Amir Hajrasouliha,sunny,66,06/18/14 09:18 AM,06/18/14 09:28 AM,34,17,17,0,4,0,7,1,0,0,0,0,0,
1408,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/18/14 09:29 AM,06/18/14 09:39 AM,68,40,28,0,4,0,6,3,0,1,0,0,0,
1409,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,66,06/18/14 10:09 AM,06/18/14 10:19 AM,47,19,28,0,3,0,8,0,0,0,0,0,0,
1410,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 10:20 AM,06/18/14 10:30 AM,114,65,49,0,11,0,13,2,0,0,0,0,0,
1411,TOWNSEND250,"250 Townsend St San Francisco, CA 94107",Corina Velazco,sunny,68,06/11/14 12:35 PM,06/11/14 12:45 PM,74,46,28,0,1,0,3,0,0,0,0,0,0,
1412,TOWNSEND251,"251 Townsend St San Francisco, CA 94107",Corina Velazco,sunny,67,06/11/14 11:55 AM,06/11/14 12:05 PM,79,47,32,0,0,0,4,0,0,0,0,0,0,
1413,TOWNSEND250,"250 Townsend St San Francisco, CA 94107",Corina Velazco,sunny,67,06/11/14 12:25 PM,06/11/14 12:35 PM,57,35,22,0,1,0,4,0,0,0,1,0,0,
1414,TOWNSEND250,"250 Townsend St San Francisco, CA 94107",Corina Velazco,sunny,69,06/11/14 12:05 PM,06/11/14 12:15 PM,66,45,21,0,0,0,2,0,0,0,0,0,0,
1415,9TH1350,"1350 09th Ave San Francisco, CA 94122",Maria De Alva,sunny,68,06/11/14 05:18 PM,06/11/14 05:28 PM,23,14,9,0,0,0,1,0,0,0,1,0,0,
1416,9TH1351,"1351 09th Ave San Francisco, CA 94122",Maria De Alva,sunny,68,06/11/14 05:05 PM,06/11/14 05:15 PM,24,9,15,0,2,0,0,0,0,1,0,0,0,
1417,9TH1350,"1350 09th Ave San Francisco, CA 94122",Maria De Alva,sunny,68,06/11/14 06:18 PM,06/11/14 06:28 PM,42,23,19,0,3,0,1,0,0,1,0,0,0,
1418,9TH1351,"1351 09th Ave San Francisco, CA 94122",Maria De Alva,sunny,67,06/11/14 06:04 PM,06/11/14 06:14 PM,37,17,20,0,1,0,1,0,0,2,0,0,0,
1419,TOWNSEND250,"250 Townsend St San Francisco, CA 94107",Corina Velazco,cloudy,59,06/10/14 05:05 PM,06/10/14 05:15 PM,57,33,24,0,2,0,5,2,0,0,0,0,0,
