id,name,notes,location,startedAt,endedAt,modePedestrian
SFMove84,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 02:00 PM,05/25/17 02:10 PM,1
SFMove85,Mcallister at Civic Center Plaza (south side),"3Bii. 10 am: 1WC; 1-2: 1S; 3-4: 1W; 4-8PM: 0W, 0S","-122.417773604393, 37.7803313442379",06/07/17 06:00 PM,06/07/17 06:10 PM,1
SFMove86,Civic Center crossing at Fulton Street,"8am-9am: 0W, 0S; 10am: 0W, 4S; 11am: 0W, 1S (general observation: most ped traffic on north side, large groups come in cycles w/tour groups and/or signal phases; when tere wasn't tour group activity (hours 11-12pm), most ppl used southside crosswalk; 12pm: 0W, 3S; 1pm: 1W, 1S; 2pm: 0W, 1S; 3pm: 0W, 1S (tour bus at 3pm) ","-122.41684153676, 37.7795787666528",05/25/17 02:00 PM,05/25/17 02:10 PM,1
SFMove87,Mcallister at Civic Center Plaza (north side),"3Bi: 10 am: 1 WC; 12-1: 1 W, 1 S; 1-2: 1S; 3-4: 2W 4-8PM: 0W, 0S","-122.417782992124, 37.7804617195072",06/07/17 01:00 PM,06/07/17 01:10 PM,1
SFMove88,Leavenworth at UN Plaza,"8am: 1W, 4S; 9am: 0W, 0S; 10am: 0W, 2S; 11am: 1W, 0S: 12-1:1w,; 1-2:2w,1s; 2-3:3w,1s; 3-4:4w; surveyor forgot to record 4pm-5pm; 6pm: 3W 0S; 7pm: 1W, 1S","-122.413652390241, 37.7805592358459",06/07/17 01:00 PM,06/07/17 01:10 PM,1
SFMove89,Leavenworth at UN Plaza,"8am: 1W, 4S; 9am: 0W, 0S; 10am: 0W, 2S; 11am: 1W, 0S: 12-1:1w,; 1-2:2w,1s; 2-3:3w,1s; 3-4:4w; surveyor forgot to record 4pm-5pm; 6pm: 3W 0S; 7pm: 1W, 1S","-122.413652390241, 37.7805592358459",06/07/17 11:00 AM,06/07/17 11:10 AM,1
SFMove90,Mcallister at Civic Center Plaza (north side),"3Bi: 10 am: 1 WC; 12-1: 1 W, 1 S; 1-2: 1S; 3-4: 2W 4-8PM: 0W, 0S","-122.417782992124, 37.7804617195072",06/07/17 02:00 PM,06/07/17 02:10 PM,1
SFMove91,Larkin at McAllister,"8-9am: 0W, 0S; 10am: 0W, 1S; 11am: 0W, 0S; 12pm: 0W, 1S; 2pm: cyclist left blank; 3 pm: 1W, 1S (pattern: ppl waiting @ light on east side of larkin b/c the light is so long, walking into middle of intersection to view city hall)","-122.417022585868, 37.7807224693973",05/27/17 09:00 AM,05/27/17 09:10 AM,1
SFMove92,Leavenworth at UN Plaza,"8am: 1W, 4S; 9am: 0W, 0S; 10am: 0W, 2S; 11am: 1W, 0S: 12-1:1w,; 1-2:2w,1s; 2-3:3w,1s; 3-4:4w; surveyor forgot to record 4pm-5pm; 6pm: 3W 0S; 7pm: 1W, 1S","-122.413652390241, 37.7805592358459",06/07/17 09:00 AM,06/07/17 09:10 AM,1
SFMove93,Grove at Hyde,"8-9am: 0W, 0S; 10am: 0W, 3S; 11am: 2W, 2S; 12pm: 3W, 2S; 1pm: 2W, 2S; 2pm: 3W, 0S; 3pm: 0W, 1S; 4pm: 0W 2S; 5pm: 1W 0S; 6-7pm: 0W 0S (3 skaters; musica at the burger king is nice but a little creepy given the contest, too loud for skaters; ravers, addicts, sellers, psychos, families @ the theater)","-122.416036874055, 37.778744563186",05/27/17 11:00 AM,05/27/17 11:10 AM,1
SFMove94,Grove at Civic Center Plaza (south side),"4Dii; 8 am: 2S; 9am: 1W; 11am: 2S;  4PM:-6PM: 0W, 0S; 7PM: 2W, 0S","-122.417414188385, 37.7785251459678",06/07/17 06:00 PM,06/07/17 06:10 PM,1
SFMove95,Larkin at McAllister,"8-9am: 0W, 0S; 10am: 0W, 1S; 11am: 0W, 0S; 12pm: 0W, 1S; 2pm: cyclist left blank; 3 pm: 1W, 1S (pattern: ppl waiting @ light on east side of larkin b/c the light is so long, walking into middle of intersection to view city hall)","-122.417022585868, 37.7807224693973",05/27/17 12:00 PM,05/27/17 12:10 PM,1
SFMove96,Grove at Civic Center Plaza (south side),"4Dii; 8 am: 2S; 9am: 1W; 11am: 2S;  4PM:-6PM: 0W, 0S; 7PM: 2W, 0S","-122.417414188385, 37.7785251459678",06/07/17 05:00 PM,06/07/17 05:10 PM,1
SFMove97,CC Plaza crossing at City Hall,"12-1: 1W; 2-3:1S 4PM: 0W, 1S; 5PM: 0W, 0S; 6PM: 0W, 0S; 7PM: 1W, 0S","-122.418387830257, 37.7793885014858",06/07/17 08:00 AM,06/07/17 08:10 AM,1
SFMove98,Larkin at McAllister,"8-9am: 0W, 0S; 10am: 0W, 1S; 11am: 0W, 0S; 12pm: 0W, 1S; 2pm: cyclist left blank; 3 pm: 1W, 1S (pattern: ppl waiting @ light on east side of larkin b/c the light is so long, walking into middle of intersection to view city hall)","-122.417022585868, 37.7807224693973",05/27/17 11:00 AM,05/27/17 11:10 AM,1
SFMove99,UN Plaza Street,"12PM: 2S 1PM: 1S; 2PM: 2S; 3PM: 1W, 1S; 4pm: 1W 0S; 5-7pm: 0W 0S; ","-122.414434254169, 37.7798946380547",05/27/17 11:00 AM,05/27/17 11:10 AM,1
SFMove100,Grove at Civic Center Plaza (north side),"4Di. 8-12 Grove closed off to cars; 12-1: 2W, 3S; 1-2: 1S; 4PM-8PM: 0W, 0S","-122.417451068758, 37.7786761941644",06/07/17 08:00 AM,06/07/17 08:10 AM,1
SFMove101,UN Plaza Street,"12PM: 2S 1PM: 1S; 2PM: 2S; 3PM: 1W, 1S; 4pm: 1W 0S; 5-7pm: 0W 0S; ","-122.414434254169, 37.7798946380547",05/27/17 01:00 PM,05/27/17 01:10 PM,1
SFMove102,Grove at Civic Center Plaza (north side),"4Di; 8am-11am: 0W, 0S; cyclist left blank for 10am;  12pm-3pm: 0W, 0S; 4pm-7pm: 0W, 0S","-122.417451068758, 37.7786761941644",05/27/17 01:00 PM,05/27/17 01:10 PM,1
SFMove103,Grove at Civic Center Plaza (north side),"4Di. 8-12 Grove closed off to cars; 12-1: 2W, 3S; 1-2: 1S; 4PM-8PM: 0W, 0S","-122.417451068758, 37.7786761941644",06/07/17 11:00 AM,06/07/17 11:10 AM,1
SFMove104,Grove at Civic Center Plaza (north side),"4Di. 8-12 Grove closed off to cars; 12-1: 2W, 3S; 1-2: 1S; 4PM-8PM: 0W, 0S","-122.417451068758, 37.7786761941644",06/07/17 10:00 AM,06/07/17 10:10 AM,1
